w,8145687.743730770,8145687.744435337,0.000704567
w,8145687.743812128,8145687.744437673,0.000625545
w,8145687.743838876,8145687.744439711,0.000600835
w,8145687.743758892,8145687.744441448,0.000682556
w,8145687.750217894,8145687.750606654,0.000388760
w,8145687.750252513,8145687.750679474,0.000426961
w,8145687.750283748,8145687.750682788,0.000399040
w,8145687.756771733,8145687.757216463,0.000444730
w,8145687.756806333,8145687.757301569,0.000495236
w,8145687.756834856,8145687.757440987,0.000606131
w,8145687.776434663,8145687.776790091,0.000355428
w,8145687.776469207,8145687.776865357,0.000396150
w,8145687.796134180,8145687.796505463,0.000371283
w,8145687.796092159,8145687.796613438,0.000521279
r,8145687.848526709,8145687.848792537,0.000265828
w,8145687.855076619,8145687.855468140,0.000391521
w,8145687.900952666,8145687.901373200,0.000420534
w,8145687.900995034,8145687.901413467,0.000418433
w,8145687.920613043,8145687.921056169,0.000443126
w,8145687.920656026,8145687.921060098,0.000404072
w,8145687.920696687,8145687.921116376,0.000419689
w,8145687.979597777,8145687.980058973,0.000461196
w,8145687.979646658,8145687.980165561,0.000518903
r,8145688.005808477,8145688.006048441,0.000239964
w,8145688.012423741,8145688.012823541,0.000399800
w,8145688.012360700,8145688.012877395,0.000516695
w,8145688.012394089,8145688.012904343,0.000510254
r,8145688.018914390,8145688.019141737,0.000227347
w,8145688.025467658,8145688.025907691,0.000440033
w,8145688.025497525,8145688.025911018,0.000413493
w,8145688.025527017,8145688.025913181,0.000386164
w,8145688.091004267,8145688.091534444,0.000530177
w,8145688.091037180,8145688.091537889,0.000500709
r,8145688.097557324,8145688.097776162,0.000218838
w,8145688.097572902,8145688.097943152,0.000370250
w,8145688.117219776,8145688.117612679,0.000392903
w,8145688.117303883,8145688.117694365,0.000390482
w,8145688.136882362,8145688.137338057,0.000455695
w,8145688.136920969,8145688.137449171,0.000528202
r,8145688.143506856,8145688.143747073,0.000240217
w,8145688.143433765,8145688.143843468,0.000409703
w,8145688.143472434,8145688.144403973,0.000931539
r,8145688.189385653,8145688.189725052,0.000339399
w,8145688.189345798,8145688.189744671,0.000398873
w,8145688.189311061,8145688.189747772,0.000436711
w,8145688.261398845,8145688.261773799,0.000374954
w,8145688.261439894,8145688.261951799,0.000511905
w,8145688.300723330,8145688.301087917,0.000364587
w,8145688.300769126,8145688.311114118,0.010344992
w,8145688.320383981,8145688.321489172,0.001105191
w,8145688.320421990,8145688.321631903,0.001209913
w,8145688.320453313,8145688.321779343,0.001326030
r,8145688.340043278,8145688.340234618,0.000191340
w,8145688.385920005,8145688.386301247,0.000381242
w,8145688.385957930,8145688.386372413,0.000414483
w,8145688.392469782,8145688.393167721,0.000697939
w,8145688.392509054,8145688.393191462,0.000682408
w,8145688.392676227,8145688.393204700,0.000528473
w,8145688.392644640,8145688.393207921,0.000563281
w,8145688.392754322,8145688.393281339,0.000527017
w,8145688.392606888,8145688.393350778,0.000743890
w,8145688.392792952,8145688.393692357,0.000899405
w,8145688.392716274,8145688.393696329,0.000980055
w,8145688.392864539,8145688.393931890,0.001067351
w,8145688.392825087,8145688.406883748,0.014058661
w,8145688.392549525,8145688.408872613,0.016323088
w,8145688.471118953,8145688.471515304,0.000396351
w,8145688.471155739,8145688.482905053,0.011749314
w,8145688.516990395,8145688.517544307,0.000553912
w,8145688.556370541,8145688.556768087,0.000397546
w,8145688.556311655,8145688.556912985,0.000601330
w,8145688.556346539,8145688.557009982,0.000663443
w,8145688.621849478,8145688.622309196,0.000459718
w,8145688.621894884,8145688.622420478,0.000525594
